name,state,acronym,short_name
Arapahoe Community College,CO,ACC,ACC
Bel-Rea Institute of Animal Technology,CO,BRIAT,BRIAT
University of Colorado Denver/Anschutz Medical Campus,CO,UCDAMC,UCDAMC
University of Colorado Colorado Springs,CO,UCCS,UCCS
Spartan College of Aeronautics and Technology,CO,SCAT,SCAT
University of Colorado Boulder,CO,UCB,UCB
Colorado Christian University,CO,CCU,CCU
Colorado College,CO,CC,CC
Concorde Career College-Aurora,CO,CCCA,CCCA
Colorado Mountain College,CO,CMC,CMC
Colorado Northwestern Community College,CO,CNCC,CNCC
Colorado School of Mines,CO,CSM,CSM
Colorado School of Trades,CO,CST,CST
Colorado State University-Fort Collins,CO,CSUFC,CSUFC
Colorado Technical University-Colorado Springs,CO,CTUCS,CTUCS
Community College of Aurora,CO,CCA,CCA
Technical College of the Rockies,CO,TCR,TCR
Community College of Denver,CO,CCD,CCD
Lincoln College of Technology-Denver,CO,LCTD,LCTD
Denver Seminary,CO,DS,DS
University of Denver,CO,UD,UD
Emily Griffith Technical College,CO,EGTC,EGTC
Fort Lewis College,CO,FLC,FLC
Front Range Community College,CO,FRCC,FRCC
Iliff School of Theology,CO,IST,IST
International Salon and Spa Academy,CO,ISSA,ISSA
Lamar Community College,CO,LCC,LCC
Colorado Mesa University,CO,CMU,CMU
Metropolitan State University of Denver,CO,MSUD,MSUD
Morgan Community College,CO,MCC,MCC
Naropa University,CO,NU,NU
Nazarene Bible College,CO,NBC,NBC
Northeastern Junior College,CO,NJC,NJC
University of Northern Colorado,CO,UNC,UNC
Otero College,CO,OC,OC
Pikes Peak State College,CO,PPSC,PPSC
Pueblo Community College,CO,PCC,PCC
Red Rocks Community College,CO,RRCC,RRCC
Regis University,CO,RU,RU
Rocky Mountain College of Art and Design,CO,RMCAD,RMCAD
Montessori Education Center of the Rockies,CO,MECR,MECR
Colorado State University Pueblo,CO,CSUP,CSUP
Pickens Technical College,CO,PTC,PTC
Intellitec College-Colorado Springs,CO,ICCS,ICCS
Intellitec College-Grand Junction,CO,ICGJ,ICGJ
Trinidad State College,CO,TSC,TSC
United States Air Force Academy,CO,USAFA,USAFA
Empire Beauty School-Thornton,CO,EBST,EBST
Western Colorado University,CO,WCU,WCU
Albertus Magnus College,CT,AMC,AMC
Bais Binyomin Academy,NY,BBA,BBA
University of Bridgeport,CT,UB,UB
Central Connecticut State University,CT,CCSU,CCSU
Charter Oak State College,CT,COSC,COSC
Cortiva Institute,CT,CI,CI
Connecticut College,CT,CC,CC
Porter & Chester Institute of Hamden,CT,PCIH,PCIH
